Frame,Time,Emotion,Score
0,22:14:01,Neutral,20
1,22:14:01,Neutral,20
2,22:14:01,Neutral,20
3,22:14:01,Neutral,20
4,22:14:01,Neutral,20
5,22:14:02,Neutral,20
6,22:14:02,Neutral,20
7,22:14:02,Neutral,20
8,22:14:02,Neutral,20
9,22:14:02,Neutral,20
10,22:14:02,Neutral,20
11,22:14:02,Neutral,20
12,22:14:02,Neutral,20
13,22:14:02,Neutral,20
14,22:14:02,Neutral,20
15,22:14:02,Neutral,20
16,22:14:02,Neutral,20
17,22:14:02,Neutral,20
18,22:14:02,Neutral,20
19,22:14:02,Neutral,20
20,22:14:02,Neutral,20
21,22:14:02,Neutral,20
22,22:14:02,Neutral,20
23,22:14:02,Neutral,20
24,22:14:02,Neutral,20
25,22:14:02,Neutral,20
26,22:14:03,Neutral,20
27,22:14:03,Neutral,20
28,22:14:03,Neutral,20
29,22:14:03,Neutral,20
30,22:14:03,Neutral,20
31,22:14:03,Neutral,20
32,22:14:03,Neutral,20
33,22:14:03,Neutral,20
34,22:14:03,Neutral,20
35,22:14:03,Neutral,20
36,22:14:03,Neutral,20
37,22:14:03,Neutral,20
38,22:14:03,Neutral,20
39,22:14:03,Neutral,20
40,22:14:03,Neutral,20
41,22:14:03,Neutral,20
42,22:14:03,Neutral,20
43,22:14:03,Neutral,20
44,22:14:03,Neutral,20
45,22:14:03,Neutral,20
46,22:14:03,Neutral,20
47,22:14:03,Neutral,20
48,22:14:03,Neutral,20
49,22:14:03,Neutral,20
50,22:14:03,Neutral,20
51,22:14:03,Neutral,20
52,22:14:04,Neutral,20
53,22:14:04,Neutral,20
54,22:14:04,Neutral,20
55,22:14:04,Neutral,20
56,22:14:04,Neutral,20
57,22:14:04,Neutral,20
58,22:14:04,Neutral,20
59,22:14:04,Neutral,20
60,22:14:04,Neutral,20
61,22:14:04,Neutral,20
62,22:14:04,Neutral,20
63,22:14:04,Neutral,20
64,22:14:04,Neutral,20
65,22:14:04,Neutral,20
66,22:14:04,Neutral,20
67,22:14:04,Neutral,20
68,22:14:04,Neutral,20
69,22:14:04,Neutral,20
70,22:14:04,Neutral,20
71,22:14:04,Neutral,20
72,22:14:04,Neutral,20
73,22:14:04,Neutral,20
74,22:14:04,Neutral,20
75,22:14:04,Neutral,20
76,22:14:04,Neutral,20
77,22:14:04,Neutral,20
78,22:14:04,Neutral,20
79,22:14:04,Neutral,20
80,22:14:04,Neutral,20
81,22:14:05,Neutral,20
82,22:14:05,Neutral,20
83,22:14:05,Neutral,20
84,22:14:05,Neutral,20
85,22:14:05,Neutral,20
86,22:14:05,Neutral,20
87,22:14:05,Neutral,20
88,22:14:05,Neutral,20
89,22:14:05,Neutral,20
90,22:14:05,Neutral,20
91,22:14:05,Neutral,20
92,22:14:05,Neutral,20
93,22:14:05,Neutral,20
94,22:14:05,Neutral,20
95,22:14:05,Neutral,20
96,22:14:05,Neutral,20
97,22:14:05,Neutral,20
98,22:14:05,Neutral,20
99,22:14:05,Neutral,20
100,22:14:05,Neutral,20
101,22:14:05,Neutral,20
102,22:14:05,Neutral,20
103,22:14:05,Neutral,20
104,22:14:05,Neutral,20
105,22:14:05,Neutral,20
106,22:14:05,Neutral,20
107,22:14:05,Neutral,20
108,22:14:06,Neutral,20
109,22:14:06,Neutral,20
110,22:14:06,Neutral,20
111,22:14:06,Neutral,20
112,22:14:06,Neutral,20
113,22:14:06,Neutral,20
114,22:14:06,Neutral,20
115,22:14:06,Neutral,20
116,22:14:06,Neutral,20
117,22:14:06,Neutral,20
118,22:14:06,Neutral,20
119,22:14:06,Neutral,20
120,22:14:06,Neutral,20
121,22:14:06,Neutral,20
122,22:14:06,Neutral,20
123,22:14:06,Neutral,20
124,22:14:06,Neutral,20
125,22:14:06,Neutral,20
